RowKey,PartitionKey,BookedToISV,BookedToISV@type,BookingCode,BookingCode@type,Duration,Duration@type,EndDateTime,EndDateTime@type,PBE,PBE@type,StartDateTime,StartDateTime@type,TechnicalEvangelist,TechnicalEvangelist@type
A1,2017-05,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-05-02T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-02T10:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A2,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-22T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-22T16:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A3,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-05T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T16:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A4,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-19T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T14:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A5,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-19T17:15:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T16:45:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A6,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-05T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A7,2017-05,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-05-18T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-18T10:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A8,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-05T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A9,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-05T13:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T12:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A10,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-03T13:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-03T13:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
